s,C,kg/m2/s,kW/m2,kW/m2,kW/m2,C,kW/m3,kW/m3,kW/m2
Time,"temp","burn","rad","gauge","con","gas","hrrpuv","qr","U"
 4.5033748E+001, 3.3406914E+002, 6.7830222E-004, 3.7035038E+000, 1.2744052E+001,-2.6113536E-001, 2.8833611E+002, 6.8359204E+002,-3.0009575E+002, 6.2876900E+001
 4.5605406E+001, 3.4894204E+002, 8.4883581E-004, 5.5295051E+000, 1.5781707E+001,-5.6622609E-002, 3.3793186E+002, 8.7472312E+002,-3.6184799E+002, 7.5096828E+001
 4.6212793E+001, 3.5526985E+002, 1.1381419E-003, 5.7641998E+000, 1.6506626E+001,-1.2994118E-002, 3.5114018E+002, 9.1382711E+002,-3.7246793E+002, 7.8557334E+001
 4.6816590E+001, 3.5420223E+002, 1.2340038E-003, 5.4615545E+000, 1.6122414E+001, 1.7246830E-002, 3.5942756E+002, 9.7140659E+002,-4.0647669E+002, 7.7613863E+001
 4.7427215E+001, 3.7513489E+002, 1.6728094E-003, 8.6487087E+000, 2.1686474E+001, 5.0693681E-001, 4.6153263E+002, 1.4862042E+003,-6.6035215E+002, 9.7880260E+001
 4.8024949E+001, 4.0009360E+002, 2.8623022E-003, 1.1828870E+001, 2.7835911E+001, 9.7514164E-001, 5.3822530E+002, 1.9469727E+003,-9.0492583E+002, 1.2109392E+002
 4.8622398E+001, 4.0164831E+002, 3.5724153E-003, 1.1247866E+001, 2.6897050E+001, 6.3948227E-001, 5.0410130E+002, 1.6638992E+003,-7.0636664E+002, 1.2171181E+002
 4.9216767E+001, 3.9859085E+002, 3.3635042E-003, 1.1169658E+001, 2.6782432E+001, 7.9426549E-001, 5.2089784E+002, 1.8023163E+003,-7.9988946E+002, 1.1845096E+002
 4.9811136E+001, 4.0805121E+002, 3.8498446E-003, 1.2906280E+001, 2.9659095E+001, 9.4419828E-001, 5.4378964E+002, 1.9658970E+003,-8.9212300E+002, 1.2977854E+002
 5.0405505E+001, 3.9696447E+002, 3.6383426E-003, 1.0833099E+001, 2.6098545E+001, 6.6132689E-001, 5.0434763E+002, 1.7382723E+003,-7.6067557E+002, 1.1732890E+002
 5.1025716E+001, 3.9797017E+002, 3.5662811E-003, 1.1456832E+001, 2.6729359E+001, 5.9536074E-001, 4.9096383E+002, 1.6579815E+003,-7.1170149E+002, 1.2108397E+002
 5.1625254E+001, 3.8343156E+002, 3.0021027E-003, 9.0824043E+000, 2.2636244E+001, 3.9990341E-001, 4.5641436E+002, 1.4713084E+003,-6.2914435E+002, 1.0455292E+002
 5.2222207E+001, 3.8384526E+002, 2.8307434E-003, 9.5772300E+000, 2.3299826E+001, 4.6538241E-001, 4.6577654E+002, 1.5413922E+003,-6.6802089E+002, 1.0608403E+002
 5.2819160E+001, 3.9248842E+002, 3.1925697E-003, 1.1196886E+001, 2.6230462E+001, 7.4865030E-001, 5.0939930E+002, 1.8243154E+003,-8.2347740E+002, 1.1610980E+002
 5.3416114E+001, 4.0197355E+002, 3.9517569E-003, 1.2490563E+001, 2.8515037E+001, 7.9166452E-001, 5.2132797E+002, 1.7965958E+003,-8.1119691E+002, 1.2606507E+002
 5.4013067E+001, 3.9713047E+002, 3.8218947E-003, 1.1790415E+001, 2.7207036E+001, 6.9305014E-001, 5.0021202E+002, 1.6471883E+003,-7.1865580E+002, 1.2226213E+002
 5.4610020E+001, 3.8081467E+002, 3.0357007E-003, 8.9573660E+000, 2.2521361E+001, 5.0054464E-001, 4.6726695E+002, 1.4536071E+003,-6.1803418E+002, 1.0362587E+002
 5.5206974E+001, 3.8198675E+002, 2.9018469E-003, 9.6958905E+000, 2.3322380E+001, 4.7234048E-001, 4.6440517E+002, 1.5116693E+003,-6.4654496E+002, 1.0642004E+002
 5.5803927E+001, 3.8838180E+002, 3.1948030E-003, 1.1016281E+001, 2.5577783E+001, 6.5981928E-001, 4.9499725E+002, 1.6879555E+003,-7.6061927E+002, 1.1477428E+002
 5.6400880E+001, 4.0441732E+002, 4.1137116E-003, 1.4356457E+001, 3.1326627E+001, 1.1821410E+000, 5.6723472E+002, 2.1420078E+003,-1.0166474E+003, 1.3632606E+002
 5.7008107E+001, 4.0876591E+002, 5.0202987E-003, 1.4421104E+001, 3.1671127E+001, 1.0279130E+000, 5.5627364E+002, 1.8412933E+003,-7.8587541E+002, 1.4214583E+002
 5.7615812E+001, 4.0211073E+002, 4.3771912E-003, 1.3847575E+001, 3.0713232E+001, 1.2307773E+000, 5.7148915E+002, 1.9063118E+003,-8.6356643E+002, 1.3596565E+002
 5.8223517E+001, 4.1228209E+002, 5.1793682E-003, 1.6284035E+001, 3.4741468E+001, 1.5759263E+000, 6.1683643E+002, 2.2267101E+003,-1.0678451E+003, 1.5000538E+002
 5.8800527E+001, 4.2583136E+002, 6.4158164E-003, 1.9872881E+001, 4.0552766E+001, 2.0783855E+000, 6.7782879E+002, 3.0478769E+003,-1.4325164E+003, 1.7113803E+002
 5.9411656E+001, 4.2992551E+002, 7.6611235E-003, 2.0649329E+001, 4.1587248E+001, 1.7854596E+000, 6.4986267E+002, 2.3770577E+003,-1.0972855E+003, 1.7862110E+002
 6.0000151E+001, 3.9522140E+002, 4.6072815E-003, 1.3240935E+001, 2.9379237E+001, 1.1073932E+000, 5.5116309E+002, 1.7703070E+003,-7.8533857E+002, 1.3049405E+002
 6.0613543E+001, 3.9655978E+002, 4.5424036E-003, 1.4109551E+001, 3.0549415E+001, 1.1992003E+000, 5.6316490E+002, 1.8473291E+003,-8.5525391E+002, 1.3510316E+002
 6.1211092E+001, 4.0803597E+002, 5.5463337E-003, 1.7477119E+001, 3.5924858E+001, 1.7214864E+000, 6.2695390E+002, 2.4262505E+003,-1.1585441E+003, 1.5439959E+002
 6.1802881E+001, 4.2214338E+002, 7.3284676E-003, 2.1594501E+001, 4.2490103E+001, 2.2902788E+000, 6.9098744E+002, 2.6952691E+003,-1.2974058E+003, 1.8065431E+002
 6.2403694E+001, 4.1952994E+002, 7.5309858E-003, 2.1348000E+001, 4.2218741E+001, 2.4156030E+000, 7.0089233E+002, 2.8005525E+003,-1.2947552E+003, 1.7812795E+002
 6.3004508E+001, 4.1514722E+002, 7.3638290E-003, 2.1073571E+001, 4.1185716E+001, 2.1545733E+000, 6.7232258E+002, 2.6445844E+003,-1.2625669E+003, 1.7440766E+002
 6.3605322E+001, 4.0681593E+002, 6.7408163E-003, 1.9140810E+001, 3.7476411E+001, 1.5256416E+000, 6.0273508E+002, 2.1478648E+003,-1.0059172E+003, 1.6313879E+002
 6.4219487E+001, 3.9819021E+002, 5.6643601E-003, 1.7101173E+001, 3.4578444E+001, 1.5940190E+000, 6.0554491E+002, 2.2515196E+003,-1.0734764E+003, 1.5058351E+002
 6.4804639E+001, 4.2853505E+002, 9.8677927E-003, 3.0317468E+001, 5.5002185E+001, 4.1460895E+000, 8.5207552E+002, 3.7009497E+003,-1.8170720E+003, 2.5966949E+002
 6.5412938E+001, 4.3345386E+002, 1.2053840E-002, 3.0626009E+001, 5.6184668E+001, 4.2813191E+000, 8.6038115E+002, 3.1251664E+003,-1.0279804E+003, 2.5682802E+002
 6.6009518E+001, 4.1848652E+002, 4.2318365E-003, 1.2328103E+001, 3.0858360E+001, 1.5649676E+000, 6.1664562E+002, 1.8076102E+003,-7.5618080E+002, 1.3641693E+002
 6.6603005E+001, 4.2000038E+002, 4.1583223E-003, 1.4281801E+001, 3.2208761E+001, 1.0576549E+000, 5.7011798E+002, 1.7011182E+003,-8.2567232E+002, 1.4595611E+002
 6.7211224E+001, 5.0019420E+002, 9.2628718E-003, 2.7054778E+001, 5.6494823E+001, 2.1643252E+000, 7.5840717E+002, 2.6856961E+003,-8.0366182E+002, 2.8823549E+002
 6.7807267E+001, 4.6107151E+002, 7.1097723E-003, 2.0347907E+001, 4.5440430E+001, 2.8758037E+000, 7.7498402E+002, 2.8392367E+003,-1.4038178E+003, 1.9122866E+002
 6.8408266E+001, 4.1385031E+002, 5.2233788E-003, 1.2323902E+001, 2.9750150E+001, 9.4097423E-001, 5.5135838E+002, 1.5213571E+003,-5.8582454E+002, 1.3727848E+002
 6.9022712E+001, 4.0461847E+002, 3.8364194E-003, 1.2461858E+001, 2.9033264E+001, 1.0547794E+000, 5.5577196E+002, 1.7768289E+003,-7.6351268E+002, 1.3079112E+002
 6.9616052E+001, 4.2805563E+002, 5.4143253E-003, 1.6488817E+001, 3.6035165E+001, 1.4114253E+000, 6.1296041E+002, 2.1875864E+003,-9.2231592E+002, 1.5971063E+002
 7.0203112E+001, 4.2714461E+002, 5.7498165E-003, 1.6075664E+001, 3.6008948E+001, 1.7043221E+000, 6.4517367E+002, 1.9592297E+003,-9.2603294E+002, 1.5945019E+002
 7.0821785E+001, 4.3096450E+002, 6.0352495E-003, 1.7517392E+001, 3.8323585E+001, 2.0195037E+000, 6.7734506E+002, 2.1609757E+003,-1.1906238E+003, 1.6361500E+002
 7.1415545E+001, 4.5437759E+002, 7.9166968E-003, 2.3177860E+001, 4.7800659E+001, 2.8264842E+000, 7.7007229E+002, 3.6290025E+003,-1.6448212E+003, 1.9814560E+002
 7.2001049E+001, 4.4237611E+002, 8.2235673E-003, 2.0359836E+001, 4.2431971E+001, 1.7613606E+000, 6.5745518E+002, 2.2309219E+003,-1.0399151E+003, 1.8590187E+002
